species_number,adore_species_number,latin_name,resolved_name,ecotox_group,tax_group,n_records_field,n_records_adore,in_adore_processed,in_adore_public,in_phylo,in_deb
723,,Crassostrea rhizophorae,Crassostrea rhizophorae,Molluscs,other,22,0,0,0,0,0
15794,,Culex sitiens,Culex sitiens,Insects/Spiders,other,22,0,0,0,0,0
752,,Elimia catenaria,Elimia catenaria,Molluscs,other,22,0,0,0,0,0
1571,,Haliotis rufescens,Haliotis rufescens,Molluscs,other,22,0,0,0,0,0
1092,,Hyla chrysoscelis,Hyla chrysoscelis,Amphibians,other,22,0,0,0,0,0
9,,Nitzschia linearis,Nitzschia linearis,Algae,algae,22,0,0,0,0,0
5713,,Pelophylax nigromaculatus,Pelophylax nigromaculatus,Amphibians,other,22,0,0,0,0,0
9943,,Pelophylax ridibundus,Pelophylax ridibundus,Amphibians,other,22,0,0,0,0,0
695,,Pycnopsyche sp.,Pycnopsyche sp.,Insects/Spiders,other,22,0,0,0,0,0
2472,,Stylodrilus heringianus,Stylodrilus heringianus,Worms,other,22,0,0,0,0,0
20304,20304,Hybognathus amarus,Hybognathus amarus,Fish;U.S. Threatened and Endangered Species,fish,21,21,1,0,1,1
34648,34648,Daphnia similoides,Daphnia similoides,Crustaceans,crusta,21,20,1,0,0,0
11784,11784,Cyprinodon bovinus,Cyprinodon bovinus,Fish;U.S. Threatened and Endangered Species,fish,21,19,1,1,1,1
4389,4389,Elasmopus rapax,Elasmopus rapax,Crustaceans,crusta,21,16,1,0,0,0
1676,1676,Allorchestes compressa,Allorchestes compressa,Crustaceans,crusta,21,15,1,0,0,0
4783,4783,Caridina nilotica,Caridina nilotica,Crustaceans,crusta,21,11,1,0,0,0
2283,2283,Gonyaulax polyedra,Gonyaulax polyedra,Algae,algae,21,9,1,0,0,0
2320,2320,Chlorella protothecoides,Chlorella protothecoides,Algae,algae,21,4,1,0,0,0
571,571,Cynoscion nebulosus,Cynoscion nebulosus,Fish,fish,21,4,1,1,1,1
4674,4674,Scapholeberis kingi,Scapholeberis kingi,Crustaceans,crusta,21,2,1,0,0,0
1065,,Anopheles quadrimaculatus,Anopheles quadrimaculatus,Insects/Spiders,other,21,0,0,0,0,0
489,,Asterias forbesii,Asterias forbesii,Other Invertebrates,other,21,0,0,0,0,0
36,,Brachycentrus americanus,Brachycentrus americanus,Insects/Spiders,other,21,0,0,0,0,0
5162,,Ephemerella infrequens,Ephemerella infrequens,Insects/Spiders,other,21,0,0,0,0,0
919,,Lestes congener,Lestes congener,Insects/Spiders,other,21,0,0,0,0,0
2008,,Monopylephorus cuticulatus,Monopylephorus cuticulatus,Worms,other,21,0,0,0,0,0
10538,,Paratanytarsus sp.,Paratanytarsus sp.,Insects/Spiders,other,21,0,0,0,0,0
6081,,Planorbella campanulata,Planorbella campanulata,Molluscs,other,21,0,0,0,0,0
5531,,Spirostomum teres,Spirostomum teres,Other Invertebrates,other,21,0,0,0,0,0
1596,,Vallisneria americana,Vallisneria americana,"Flowers, Trees, Shrubs, Ferns",other,21,0,0,0,0,0
2133,2133,Barbus javanicus,Barbus javanicus,Fish,fish,20,20,1,0,0,0
2976,2976,Gammarus kischineffensis,Gammarus kischineffensis,Crustaceans,crusta,20,20,1,0,1,0
2415,2415,Macrobrachium dayanum,Macrobrachium dayanum,Crustaceans,crusta,20,20,1,0,0,0
4655,4655,Podocerus fulanus,Podocerus fulanus,Crustaceans,crusta,20,20,1,0,0,0
811,811,Trichogaster trichopterus,Trichopodus trichopterus,Fish,fish,20,20,1,0,0,0
874,874,Cypretta kawatai,Cypretta kawatai,Crustaceans,crusta,20,19,1,0,0,0
5984,5984,Siriella armata,Siriella armata,Crustaceans,crusta,20,19,1,0,0,0
333,333,Bellerochea polymorpha,Minutocellus polymorphus,Algae,algae,20,18,1,0,0,0
4407,4407,Pandorina morum,Pandorina morum,Algae,algae,20,17,1,1,1,0
1005,1005,Panopeus herbstii,Panopeus herbstii,Crustaceans,crusta,20,17,1,0,1,0
48,48,Daphnia hyalina,Daphnia hyalina,Crustaceans,crusta,20,16,1,0,0,1
5926,5926,Streptocephalus rubricaudatus,Streptocephalus rubricaudatus,Crustaceans,crusta,20,16,1,0,0,0
17649,17649,Chlamydomonas snowiae,Chlamydomonas snowiae,Algae,algae,20,13,1,0,0,0
28739,28739,Ulnaria ulna,Ulnaria ulna,Algae,algae,20,12,1,1,1,0
1906,1906,Tetraselmis chuii,Tetraselmis chuii,Algae,algae,20,9,1,0,0,0
728,728,Cypridopsis sp.,Cypridopsis sp.,Crustaceans,crusta,20,8,1,0,0,0
2180,2180,Temora longicornis,Temora longicornis,Crustaceans,crusta,20,6,1,0,0,1
1607,1607,Nostoc sp.,Nostoc sp.,Algae,algae,20,2,1,1,1,0
2470,,Aedes triseriatus,Aedes triseriatus,Insects/Spiders,other,20,0,0,0,0,0
398,,Chaoborus sp.,Chaoborus sp.,Insects/Spiders,other,20,0,0,0,0,0
19825,,Chironomus xanthus,Chironomus xanthus,Insects/Spiders,other,20,0,0,0,0,0
667,,Elliptio complanata,Elliptio complanata,Molluscs,other,20,0,0,0,0,0
40974,,Ephemera orientalis,Ephemera orientalis,Insects/Spiders,other,20,0,0,0,0,0
5294,,Gyraulus sp.,Gyraulus sp.,Molluscs,other,20,0,0,0,0,0
619,,Lepidostoma sp.,Lepidostoma sp.,Insects/Spiders,other,20,0,0,0,0,0
34539,,Modiolus philippinarum,Modiolus philippinarum,Molluscs,other,20,0,0,0,0,0
29,,Physa sp.,Physa sp.,Molluscs,other,20,0,0,0,0,0
2934,,Simocephalus exspinosus,Simocephalus exspinosus,Crustaceans,crusta,20,0,0,0,0,0
11921,11921,Gammarus palustris,Gammarus palustris,Crustaceans,crusta,19,19,1,0,0,0
379,379,Diaptomus sp.,Diaptomus sp.,Crustaceans,crusta,19,16,1,0,0,0
27725,27725,Oophila sp.,Oophila sp.,Algae,algae,19,15,1,0,0,0
894,894,Clupea pallasii,Clupea pallasii,Fish,fish,19,14,1,1,1,1
2243,2243,Trichogaster pectoralis,Trichopodus pectoralis,Fish,fish,19,11,1,0,0,0
557,557,Ankistrodesmus sp.,Ankistrodesmus sp.,Algae,algae,19,10,1,0,0,0
270,270,Osmerus mordax,Osmerus mordax,Fish,fish,19,9,1,0,1,1
925,925,Coregonus fera,Coregonus fera,Fish,fish,19,6,1,0,0,0
28112,28112,Chlorella marina,Chlorella marina,Algae,algae,19,4,1,0,0,0
1866,1866,Platymonas sp.,Platymonas sp.,Algae,algae,19,4,1,0,0,0
48540,48540,Tisochrysis lutea,Tisochrysis lutea,Algae,algae,19,4,1,0,0,0
464,464,Dunaliella sp.,Dunaliella sp.,Algae,algae,19,3,1,0,0,0
555,555,Chlorella ellipsoidea,Chlorella ellipsoidea,Algae,algae,19,2,1,0,0,0
1763,1763,Nostoc commune,Nostoc commune,Algae,algae,19,2,1,1,1,0
1657,,Aequipecten opercularis,Aequipecten opercularis,Molluscs,other,19,0,0,0,0,0
1682,,Bacillariophyceae,Bacillariophyceae,Algae,algae,19,0,0,0,0,0
5657,,Bufo bufo ssp. gargarizans,Bufo bufo ssp. gargarizans,Amphibians,other,19,0,0,0,0,0
91,,Callibaetis sp.,Callibaetis sp.,Insects/Spiders,other,19,0,0,0,0,0
15613,,Crustacea,Crustacea,Crustaceans,crusta,19,0,0,0,0,0
31437,,Culex tritaeniorhynchus ssp. summorosus,Culex tritaeniorhynchus ssp. summorosus,Insects/Spiders,other,19,0,0,0,0,0
371,,Cyprinodontidae,Cyprinodontidae,Fish,fish,19,0,0,0,0,0
496,,Elimia livescens,Elimia livescens,Molluscs,other,19,0,0,0,0,0
10299,,Jappa kutera,Jappa kutera,Insects/Spiders,other,19,0,0,0,0,0
5767,,Megalonaias nervosa,Megalonaias nervosa,Molluscs,other,19,0,0,0,0,0
4926,,Pelophylax perezi,Pelophylax perezi,Amphibians,other,19,0,0,0,0,0
905,,Planorbis corneus,Planorbis corneus,Molluscs,other,19,0,0,0,0,0
29868,,Pseudepidalea viridis,Pseudepidalea viridis,Amphibians,other,19,0,0,0,0,0
31617,,Radix natalensis,Radix natalensis,Molluscs,other,19,0,0,0,0,0
2798,,Rita rita,Rita rita,Fish,fish,19,0,0,0,0,0
234,,Unio pictorum,Unio pictorum,Molluscs,other,19,0,0,0,0,0
2817,,Velesunio ambiguus,Velesunio ambiguus,Molluscs,other,19,0,0,0,0,0
1697,1697,Spicodiaptomus chelospinus,Spicodiaptomus chelospinus,Crustaceans,crusta,18,18,1,0,0,0
10240,10240,Tisbe longicornis,Tisbe longicornis,Crustaceans,crusta,18,18,1,0,0,0
11260,11260,Varuna litterata,Varuna litterata,Crustaceans,crusta,18,18,1,0,0,0
4830,4830,Cynoglossus joyneri,Cynoglossus joyneri,Fish,fish,18,16,1,0,1,0
29493,29493,Macrobrachium lar,Macrobrachium lar,Crustaceans,crusta,18,16,1,0,0,0
3023,3023,Fragilaria crotonensis,Fragilaria crotonensis,Algae,algae,18,14,1,1,1,0
1814,1814,Navicula sp.,Navicula sp.,Algae,algae,18,12,1,0,0,0
29703,29703,Microcystis wesenbergii,Microcystis wesenbergii,Algae,algae,18,10,1,1,1,0
2254,2254,Scenedesmus dimorphus,Scenedesmus dimorphus,Algae,algae,18,10,1,0,0,0
900,900,Gymnocephalus cernuus,Gymnocephalus cernuus,Fish;U.S. Invasive Species,fish,18,8,1,0,0,1
292,292,Etheostoma caeruleum,Etheostoma caeruleum,Fish,fish,18,7,1,0,1,1
19389,19389,Aphanothece clathrata,Aphanothece clathrata,Algae,algae,18,6,1,0,0,0
29019,29019,Skeletonema marinoi,Skeletonema marinoi,Algae,algae,18,4,1,1,1,0
4388,4388,Cryptomonas sp.,Cryptomonas sp.,Algae,algae,18,2,1,0,0,0
1229,,Aedes punctor,Aedes punctor,Insects/Spiders,other,18,0,0,0,0,0
20064,,Alasmidonta heterodon,Alasmidonta heterodon,Molluscs;U.S. Threatened and Endangered Species,other,18,0,0,0,0,0
65923,,Alathyria profuga,Alathyria profuga,Molluscs,other,18,0,0,0,0,0
926,,Ancylus fluviatilis,Ancylus fluviatilis,Molluscs,other,18,0,0,0,0,0
1091,,Bufo bufo,Bufo bufo,Amphibians,other,18,0,0,0,0,0
1271,,Caenis sp.,Caenis sp.,Insects/Spiders,other,18,0,0,0,0,0
65903,,Cucumerunio novaehollandiae,Cucumerunio novaehollandiae,Molluscs,other,18,0,0,0,0,0
20357,,Fusconaia masoni,Fusconaia masoni,Molluscs;U.S. Threatened and Endangered Species,other,18,0,0,0,0,0
1731,,Haematococcus lacustris,Haematococcus lacustris,Algae,algae,18,0,0,0,1,0
18268,,Haliotis diversicolor ssp. supertexta,Haliotis diversicolor ssp. supertexta,Molluscs,other,18,0,0,0,0,0
30189,,Hormidium sp.,Hormidium sp.,Algae,algae,18,0,0,0,0,0
478,,Hyla versicolor,Hyla versicolor,Amphibians,other,18,0,0,0,0,0
65921,,Hyridella australis,Hyridella australis,Molluscs,other,18,0,0,0,0,0
16390,,Hyridella depressa,Hyridella depressa,Molluscs,other,18,0,0,0,0,0
65922,,Hyridella drapeta,Hyridella drapeta,Molluscs,other,18,0,0,0,0,0
18585,,Mesodesma glabrum,Mesodesma glabrum,Molluscs,other,18,0,0,0,0,0
3037,,Monhystera disjuncta,Monhystera disjuncta,Worms,other,18,0,0,0,0,0
18746,,Ochlerotatus caspius,Ochlerotatus caspius,Insects/Spiders,other,18,0,0,0,0,0
431,,Paramecium bursaria,Paramecium bursaria,Other Invertebrates,other,18,0,0,0,0,0
2478,,Polycelis tenuis,Polycelis tenuis,Worms,other,18,0,0,0,0,0
4733,,Pomacea canaliculata,Pomacea canaliculata,Molluscs;U.S. Invasive Species,other,18,0,0,0,0,0
20067,,Potamilus ohiensis,Potamilus ohiensis,Molluscs,other,18,0,0,0,0,0
47354,,Saccharina latissima,Saccharina latissima,Algae,algae,18,0,0,0,0,0
1252,,Sialis lutaria,Sialis lutaria,Insects/Spiders,other,18,0,0,0,0,0
2386,,Tetrahymena sp.,Tetrahymena sp.,Other Invertebrates,other,18,0,0,0,0,0
20066,,Venustaconcha ellipsiformis,Venustaconcha ellipsiformis,Molluscs,other,18,0,0,0,0,0
17167,,Xanthocnemis zealandica,Xanthocnemis zealandica,Insects/Spiders,other,18,0,0,0,0,0
20193,20193,Clibanarius africanus,Clibanarius africanus,Crustaceans,crusta,17,17,1,0,0,0
10709,10709,Macrobrachium rude,Macrobrachium rude,Crustaceans,crusta,17,17,1,0,0,0
41395,41395,Karenia brevis,Karenia brevis,Algae,algae,17,16,1,0,0,0
19230,19230,Macrobrachium amazonicum,Macrobrachium amazonicum,Crustaceans,crusta,17,16,1,0,0,0
5676,5676,Melanotaenia duboulayi,Melanotaenia duboulayi,Fish,fish,17,16,1,0,1,0
17257,17257,Rhamdia quelen,Rhamdia quelen,Fish,fish,17,15,1,0,1,0
1339,1339,Scenedesmus abundans,Scenedesmus abundans,Algae,algae,17,15,1,0,0,0
1681,1681,Xiphophorus helleri,Xiphophorus helleri,Fish,fish,17,15,1,0,0,1
2851,2851,Corophium insidiosum,Corophium insidiosum,Crustaceans,crusta,17,14,1,0,0,0
864,864,Caridina rajadhari,Caridina rajadhari,Crustaceans,crusta,17,13,1,0,0,0
20140,20140,Rachycentron canadum,Rachycentron canadum,Fish,fish,17,13,1,0,1,0
353,353,Pseudorasbora parva,Pseudorasbora parva,Fish,fish,17,10,1,0,1,0
2145,2145,Scardinius erythrophthalmus,Scardinius erythrophthalmus,Fish,fish,17,5,1,1,1,1
2408,2408,Prorocentrum minimum,Prorocentrum minimum,Algae,algae,17,4,1,0,0,0
2242,2242,Tilapia melanopleura,Tilapia melanopleura,Fish,fish,17,2,1,0,0,0
983,983,Tigriopus californicus,Tigriopus californicus,Crustaceans;Standard Test Species,crusta,17,1,1,0,0,0
1461,,Atalophlebia australis,Atalophlebia australis,Insects/Spiders,other,17,0,0,0,0,0
11592,,Balanus amphitrite ssp. niveus,Balanus amphitrite ssp. niveus,Crustaceans,crusta,17,0,0,0,0,0
1182,,Chironomus utahensis,Chironomus utahensis,Insects/Spiders,other,17,0,0,0,0,0
11645,,Dero digitata,Dero digitata,Worms,other,17,0,0,0,0,0
6074,,Elimia virginica,Elimia virginica,Molluscs,other,17,0,0,0,0,0
1121,,Ephemeroptera,Ephemeroptera,Insects/Spiders,other,17,0,0,0,0,0
20387,,Euplotes crassus,Euplotes crassus,Other Invertebrates,other,17,0,0,0,0,0
2498,,Glyptotendipes paripes,Glyptotendipes paripes,Insects/Spiders,other,17,0,0,0,0,0
974,,Insecta,Insecta,Insects/Spiders,other,17,0,0,0,0,0
2466,,Ischnura elegans,Ischnura elegans,Insects/Spiders,other,17,0,0,0,0,0
1722,,Lamellidens corrianus,Lamellidens corrianus,Molluscs,other,17,0,0,0,0,0
4400,,Lemna trisulca,Lemna trisulca,"Flowers, Trees, Shrubs, Ferns",other,17,0,0,0,0,0
6075,,Leptoxis carinata,Leptoxis carinata,Molluscs,other,17,0,0,0,0,0
10537,,Litoria moorei,Litoria moorei,Amphibians,other,17,0,0,0,0,0
6107,,Medionidus conradicus,Medionidus conradicus,Molluscs,other,17,0,0,0,0,0
10414,,Modiolus auriculatus,Modiolus auriculatus,Molluscs,other,17,0,0,0,0,0
5181,,Obliquaria reflexa,Obliquaria reflexa,Molluscs,other,17,0,0,0,0,0
612,,Paraleptophlebia sp.,Paraleptophlebia sp.,Insects/Spiders,other,17,0,0,0,0,0
1394,,Paramecium multimicronucleatum,Paramecium multimicronucleatum,Other Invertebrates,other,17,0,0,0,0,0
239,,Physa integra,Physa integra,Molluscs;Standard Test Species,other,17,0,0,0,0,0
1282,,Potamogeton perfoliatus,Potamogeton perfoliatus,"Flowers, Trees, Shrubs, Ferns",other,17,0,0,0,0,0
617,,Pteronarcys dorsata,Pteronarcys dorsata,Insects/Spiders,other,17,0,0,0,0,0
1564,,Stylaria lacustris,Stylaria lacustris,Worms,other,17,0,0,0,0,0
20669,,Stylophora pistillata,Stylophora pistillata,Other Invertebrates,other,17,0,0,0,0,0
1616,,Zostera marina,Zostera marina,"Flowers, Trees, Shrubs, Ferns",other,17,0,0,0,0,0
3013,3013,Caridina weberi,Caridina weberi,Crustaceans,crusta,16,16,1,0,0,0
2892,2892,Echinogammarus berilloni,Echinogammarus berilloni,Crustaceans,crusta,16,16,1,0,1,0
5916,5916,Paralichthys orbignyanus,Paralichthys orbignyanus,Fish,fish,16,16,1,0,1,0
17475,17475,Ilyocypris dentifera,Ilyocypris dentifera,Crustaceans,crusta,16,15,1,0,0,0
2450,2450,Daphnia laevis,Daphnia laevis,Crustaceans,crusta,16,14,1,0,1,0
932,932,Asellus hilgendorfii,Asellus hilgendorfii,Crustaceans,crusta,16,13,1,0,1,0
521,521:6061,Procambarus simulans ssp. simulans,Procambarus simulans ssp. simulans,Crustaceans,crusta,16,13,1,0,0,0
2640,2640,Streptocephalus texanus,Streptocephalus texanus,Crustaceans,crusta,16,12,1,0,0,0
1164,1164,Cyclops strenuus,Cyclops strenuus,Crustaceans,crusta,16,11,1,0,0,0
20710,20710,Oryzias melastigma,Oryzias melastigma,Fish,fish,16,9,1,0,0,0
18409,18409,Callianassa kraussi,Callianassa kraussi,Crustaceans,crusta,16,8,1,0,0,0
10296,10296,Lophiosilurus alexandri,Lophiosilurus alexandri,Fish,fish,16,8,1,0,1,0
771,771,Balanus improvisus,Balanus improvisus,Crustaceans,crusta,16,7,1,0,0,0
1202,1202,Chrysophrys major,Chrysophrys major,Fish,fish,16,7,1,0,0,0
19979,19979,Artemia sinica,Artemia sinica,Crustaceans,crusta,16,6,1,0,1,0
4816,4816,Melanotaenia nigrans,Melanotaenia nigrans,Fish,fish,16,6,1,0,1,0
1051,1051,Oncorhynchus masou,Oncorhynchus masou,Fish,fish,16,6,1,0,1,0
1876,1876,Anabaena spiroides,Anabaena spiroides,Algae,algae,16,4,1,0,0,0
34624,34624,Rasbora sumatrana,Rasbora sumatrana,Fish,fish,16,4,1,0,1,0
2357,2357,Pyramimonas sp.,Pyramimonas sp.,Algae,algae,16,1,1,0,0,0
2090,,Aedes sollicitans,Aedes sollicitans,Insects/Spiders,other,16,0,0,0,0,0
1233,,Aedes sticticus,Aedes sticticus,Insects/Spiders,other,16,0,0,0,0,0
29537,,Aedes togoi,Aedes togoi,Insects/Spiders,other,16,0,0,0,0,0
2355,,Anura,Anura,Amphibians,other,16,0,0,0,0,0
495,,Bulinus truncatus,Bulinus truncatus,Molluscs,other,16,0,0,0,0,0
20423,,Coenochloris sp.,Coenochloris sp.,Algae,algae,16,0,0,0,0,0
2503,,Culicoides variipennis,Culicoides variipennis,Insects/Spiders,other,16,0,0,0,0,0
342,,Eretes sticticus,Eretes sticticus,Insects/Spiders,other,16,0,0,0,0,0
34525,,Gymnometriocnemus mahensis,Gymnometriocnemus mahensis,Insects/Spiders,other,16,0,0,0,0,0
2336,,Gyrinus sp.,Gyrinus sp.,Insects/Spiders,other,16,0,0,0,0,0
3029,,Halodule uninervis,Halodule uninervis,"Flowers, Trees, Shrubs, Ferns",other,16,0,0,0,0,0
1684,,Laomedea loveni,Laomedea loveni,Other Invertebrates,other,16,0,0,0,0,0
34603,,Larsia sp.,Larsia sp.,Insects/Spiders,other,16,0,0,0,0,0
719,,Lymnaea emarginata ssp. angulata,Lymnaea emarginata ssp. angulata,Molluscs,other,16,0,0,0,0,0
19008,,Monoraphidium pusillum,Monoraphidium pusillum,Algae,algae,16,0,0,0,0,0
1570,,Ophryotrocha labronica,Ophryotrocha labronica,Worms,other,16,0,0,0,0,0
20097,,Oscillatoria laetevirens,Oscillatoria laetevirens,Algae,algae,16,0,0,0,0,0
20249,,Pinctada fucata,Pinctada fucata,Molluscs,other,16,0,0,0,0,0
2442,,Potamopyrgus jenkinsi,Potamopyrgus jenkinsi,Molluscs,other,16,0,0,0,0,0
727,727:5700,Rasbora daniconius,Rasbora daniconius,Fish,fish,16,0,0,0,1,0
5530,,Rhabditis sp.,Rhabditis sp.,Worms,other,16,0,0,0,0,0
601,,Sphaerium sp.,Sphaerium sp.,Molluscs,other,16,0,0,0,0,0
539,,Stenonema sp.,Stenonema sp.,Insects/Spiders,other,16,0,0,0,0,0
34522,,Tanypus complanatus,Tanypus complanatus,Insects/Spiders,other,16,0,0,0,0,0
18258,,Tellina deltoidalis,Tellina deltoidalis,Molluscs,other,16,0,0,0,0,0
16559,,Tympanotonus fuscatus,Tympanotonus fuscatus,Molluscs,other,16,0,0,0,0,0
5791,,Zostera muelleri,Zostera muelleri,"Flowers, Trees, Shrubs, Ferns",other,16,0,0,0,0,0
852,852,Barbus dorsalis,Barbus dorsalis,Fish,fish,15,15,1,0,0,0
1020,1020,Solea solea,Solea solea,Fish,fish,15,15,1,1,1,1
808,808,Zacco platypus,Zacco platypus,Fish,fish,15,15,1,0,1,0
18864,18864,Jenynsia multidentata,Jenynsia multidentata,Fish,fish,15,14,1,0,0,0
4625,4625,Liza macrolepis,Liza macrolepis,Fish,fish,15,14,1,0,0,0
2183,2183,Acheilognathus moriokae,Acheilognathus moriokae,Fish,fish,15,13,1,0,0,0
34651,34651,Cyanobium sp.,Cyanobium sp.,Algae,algae,15,13,1,0,0,0
135,135,Cyprinodon macularius,Cyprinodon macularius,Fish;U.S. Threatened and Endangered Species,fish,15,13,1,1,1,1
2514,2514,Acipenser brevirostrum,Acipenser brevirostrum,Fish;U.S. Threatened and Endangered Species,fish,15,12,1,1,1,1
1349,1349,Anabas scandens,Anabas scandens,Fish,fish,15,12,1,0,0,0
17733,17733,Tilapia guineensis,Tilapia guineensis,Fish,fish,15,12,1,0,0,0
1789,1789,Esox masquinongy,Esox masquinongy,Fish,fish,15,11,1,1,1,1
2995,2995,Stephanodiscus hantzschii,Stephanodiscus hantzschii,Algae,algae,15,11,1,1,1,0
2516,2516,Acipenser oxyrhynchus,Acipenser oxyrinchus,Fish,fish,15,9,1,0,0,0
1585,1585,Channa marulius,Channa marulius,Fish,fish,15,9,1,0,1,1
1189,1189,Gobio gobio,Gobio gobio,Fish,fish,15,9,1,1,1,1
582,582,Homarus gammarus,Homarus gammarus,Crustaceans,crusta,15,9,1,1,1,1
19905,19905,Nephroselmis pyriformis,Nephroselmis pyriformis,Algae,algae,15,9,1,0,0,0
4705,4705,Paratelphusa hydrodromus,Paratelphusa hydrodromus,Crustaceans,crusta,15,9,1,0,0,0
583,583,Enneacanthus gloriosus,Enneacanthus gloriosus,Fish,fish,15,8,1,1,1,1
11164,11164,Sander lucioperca,Sander lucioperca,Fish,fish,15,8,1,1,1,1
220,220,Eualus sp.,Eualus sp.,Crustaceans,crusta,15,6,1,0,0,0
4794,4794,Chlamydomonas noctigama,Chlamydomonas noctigama,Algae,algae,15,5,1,1,1,0
396,396,Oscillatoria sp.,Oscillatoria sp.,Algae,algae,15,5,1,0,0,0
279,279,Rhinichthys atratulus,Rhinichthys atratulus,Fish,fish,15,4,1,1,1,1
249,249,Trypaea australiensis,Trypaea australiensis,Crustaceans,crusta,15,4,1,0,0,0
2952,,Anabaena doliolum,Anabaena doliolum,Algae,algae,15,0,0,0,0,0
2421,,Anopheles culicifacies,Anopheles culicifacies,Insects/Spiders,other,15,0,0,0,0,0
18421,,Anopheles sinensis,Anopheles sinensis,Insects/Spiders,other,15,0,0,0,0,0
34527,,Bufo gargarizans,Bufo gargarizans,Amphibians,other,15,0,0,0,0,0
303,,Chilomonas paramecium,Chilomonas paramecium,Algae,algae,15,0,0,0,0,0
9994,,Chlorophyta,Chlorophyta,Algae,algae,15,0,0,0,0,0
4787,,Crassostrea margaritacea,Crassostrea margaritacea,Molluscs,other,15,0,0,0,0,0
281,,Cyclopoida,Cyclopoida,Crustaceans,crusta,15,0,0,0,0,0
636,,Cylindrotheca closterium,Cylindrotheca closterium,Algae,algae,15,0,0,0,1,0
1280,1260:1280,Daphnia galeata ssp. mendotae,Daphnia galeata ssp. mendotae,Crustaceans,crusta,15,0,0,0,0,0
1110,,Haliotis gigantea,Haliotis gigantea,Molluscs,other,15,0,0,0,0,0
4728,,Lymnaea peregra ssp. ovata,Lymnaea peregra ssp. ovata,Molluscs,other,15,0,0,0,0,0
459,,Macromia sp.,Macromia sp.,Insects/Spiders,other,15,0,0,0,0,0
2808,,Melanopsis dufouri,Melanopsis dufouri,Molluscs,other,15,0,0,0,0,0
18408,,Melita sp.,Melita sp.,Crustaceans,crusta,15,0,0,0,0,0
2467,,Nemoura cinerea,Nemoura cinerea,Insects/Spiders,other,15,0,0,0,0,0
20425,,Ochromonas ovalis,Ochromonas ovalis,Algae,algae,15,0,0,0,0,0
2121,,Palaemon squilla,Palaemon squilla,Crustaceans,crusta,15,0,0,0,0,0
41406,,Planorbella pilsbryi,Planorbella pilsbryi,Molluscs,other,15,0,0,0,0,0
2360,,Polycelis nigra,Polycelis nigra,Worms,other,15,0,0,0,0,0
801,,Psephenus herricki,Psephenus herricki,Insects/Spiders,other,15,0,0,0,0,0
4411,,Schistosoma mansoni,Schistosoma mansoni,Worms,other,15,0,0,0,0,0
1012,1012,Chlamydotheca arcuata,Chlamydotheca arcuata,Crustaceans,crusta,14,14,1,0,0,0
11375,11375,Craticula accomoda,Craticula accomoda,Algae,algae,14,14,1,0,0,0
2838,2838,Uca annulipes,Uca annulipes,Crustaceans,crusta,14,14,1,0,0,0
2309,2309,Diaphanosoma brachyurum,Diaphanosoma brachyurum,Crustaceans,crusta,14,13,1,0,0,1
5357,5357,Moina australiensis,Moina australiensis,Crustaceans,crusta,14,13,1,0,0,0
437,437:17481,Aulacoseira granulata var. angustissima,Aulacoseira granulata var. angustissima,Algae,algae,14,12,1,1,1,0
2929,2929,Oscillatoria agardhii,Oscillatoria agardhii,Algae,algae,14,12,1,0,0,0
18497,18497,Litopenaeus schmitti,Litopenaeus schmitti,Crustaceans,crusta,14,11,1,0,0,0
4630,4630,Moina mongolica,Moina mongolica,Crustaceans,crusta,14,10,1,0,0,0
4697,4697,Elasmopus bampo,Elasmopus bampo,Crustaceans,crusta,14,8,1,0,0,0
10813,10813,Moina sp.,Moina sp.,Crustaceans,crusta,14,8,1,0,0,0
423,423,Brevoortia tyrannus,Brevoortia tyrannus,Fish,fish,14,7,1,0,1,0
1691,1691,Etheostoma nigrum,Etheostoma nigrum,Fish,fish,14,5,1,0,1,1
5470,5470,Chaetoceros gracilis,Chaetoceros gracilis,Algae,algae,14,4,1,0,0,0
2300,2300,Pomatoschistus microps,Pomatoschistus microps,Fish,fish,14,4,1,0,1,0
1341,1341,Cylindrospermum sp.,Cylindrospermum sp.,Algae,algae,14,2,1,0,0,0
1583,1583,Dunaliella bioculata,Dunaliella bioculata,Algae,algae,14,2,1,0,0,0
26583,26583,Pediastrum boryanum,Pediastrum boryanum,Algae,algae,14,2,1,0,0,0
11943,11943,Phormidium mucicola,Phormidium mucicola,Algae,algae,14,2,1,1,1,0
4777,,Amphimelania holandri,Amphimelania holandri,Molluscs,other,14,0,0,0,0,0
156,,Baetis sp.,Baetis sp.,Insects/Spiders;Standard Test Species,other,14,0,0,0,0,0
2469,,Chironomus crassicaudatus,Chironomus crassicaudatus,Insects/Spiders,other,14,0,0,0,0,0
4808,,Dicrotendipes californicus,Dicrotendipes californicus,Insects/Spiders,other,14,0,0,0,0,0
30614,,Euphlyctis cyanophlyctis,Euphlyctis cyanophlyctis,Amphibians,other,14,0,0,0,0,0
10985,,Glossiphonia sp.,Glossiphonia sp.,Worms,other,14,0,0,0,0,0
1378,,Goeldichironomus holoprasinus,Goeldichironomus holoprasinus,Insects/Spiders,other,14,0,0,0,0,0
3030,,Halophila ovalis,Halophila ovalis,"Flowers, Trees, Shrubs, Ferns",other,14,0,0,0,0,0
